City,Temperature (°C)
United Kingdom,23
Paris,35
Amsterdam,29
Rome,38
Madrid,38
Lisbon,32
Athens,38
Barcelona,32
Berlin,29
Milan,35
Vienna,32
Brussels,32
Prague,30
Budapest,34
Zurich,32
Cairo,41
Casablanca,28
Marrakech,41
Tunis,48
Algiers,31
Tripoli,38
Tangier,30
Beirut,33
Amman,34
Istanbul,32
Doha,43
Manama,37
Nice,24
Santorini,27
Albufeira,30
Catania,36
Malaga,39
Dubrovnik,29
Naples,31
Toulon,30
Sharm El Sheikh,35
Hurghada,36
Djerba,34
Essaouira,26
Agadir,29
