City,Temperature (°C)
United Kingdom,19
Paris,36
Amsterdam,23
Rome,37
Madrid,37
Lisbon,33
Athens,39
Barcelona,31
Berlin,29
Milan,34
Vienna,34
Brussels,30
Prague,30
Budapest,39
Zurich,34
Cairo,40
Casablanca,30
Marrakech,44
Tunis,41
Algiers,28
Tripoli,32
Tangier,31
Beirut,28
Amman,34
Istanbul,33
Doha,44
Manama,39
Nice,24
Santorini,25
Albufeira,32
Catania,33
Malaga,33
Dubrovnik,29
Naples,29
Toulon,30
Sharm El Sheikh,35
Hurghada,34
Djerba,36
Essaouira,31
Agadir,38
