City,Temperature (°C)
United Kingdom,12
Paris,16
Amsterdam,13
Rome,29
Madrid,23
Lisbon,22
Athens,28
Barcelona,23
Berlin,17
Milan,21
Vienna,17
Brussels,14
Prague,15
Budapest,20
Zurich,16
Cairo,40
Casablanca,21
Marrakech,28
Tunis,34
Algiers,22
Tripoli,30
Tangier,22
Beirut,23
Amman,29
Istanbul,24
Doha,40
Manama,38
Nice,13
Santorini,22
Albufeira,21
Catania,30
Malaga,25
Dubrovnik,18
Naples,19
Toulon,20
Sharm El Sheikh,32
Hurghada,35
Djerba,23
Essaouira,20
Agadir,22
