City,Temperature (°C)
United Kingdom,11
Paris,26
Amsterdam,21
Rome,27
Madrid,27
Lisbon,22
Athens,19
Barcelona,22
Berlin,14
Milan,21
Vienna,17
Brussels,23
Prague,12
Budapest,18
Zurich,23
Cairo,27
Casablanca,19
Marrakech,23
Tunis,34
Algiers,26
Tripoli,31
Tangier,18
Beirut,18
Amman,18
Istanbul,15
Doha,30
Manama,27
Nice,14
Santorini,17
Albufeira,20
Catania,22
Malaga,23
Dubrovnik,17
Naples,19
Toulon,20
Sharm El Sheikh,26
Hurghada,27
Djerba,26
Essaouira,20
Agadir,22
