City,Temperature (°C)
United Kingdom,17
Paris,31
Amsterdam,26
Rome,36
Madrid,36
Lisbon,30
Athens,30
Barcelona,31
Berlin,25
Milan,29
Vienna,30
Brussels,27
Prague,27
Budapest,31
Zurich,29
Cairo,39
Casablanca,33
Marrakech,38
Tunis,35
Algiers,28
Tripoli,32
Tangier,28
Beirut,35
Amman,35
Istanbul,26
Doha,42
Manama,42
Nice,20
Santorini,25
Albufeira,31
Catania,30
Malaga,36
Dubrovnik,26
Naples,30
Toulon,27
Sharm El Sheikh,35
Hurghada,38
Djerba,27
Essaouira,30
Agadir,31
