City,Temperature (°C)
United Kingdom,19
Paris,30
Amsterdam,24
Rome,38
Madrid,39
Lisbon,36
Athens,36
Barcelona,31
Berlin,26
Milan,35
Vienna,31
Brussels,25
Prague,29
Budapest,32
Zurich,30
Cairo,38
Casablanca,33
Marrakech,44
Tunis,41
Algiers,30
Tripoli,33
Tangier,32
Beirut,35
Amman,34
Istanbul,31
Doha,43
Manama,41
Nice,24
Santorini,27
Albufeira,31
Catania,36
Malaga,31
Dubrovnik,32
Naples,33
Toulon,31
Sharm El Sheikh,34
Hurghada,36
Djerba,33
Essaouira,33
Agadir,34
