City,Temperature (°C)
United Kingdom,24
Paris,34
Amsterdam,35
Rome,34
Madrid,38
Lisbon,29
Athens,37
Barcelona,33
Berlin,35
Milan,41
Vienna,44
Brussels,35
Prague,42
Budapest,42
Zurich,36
Cairo,40
Casablanca,28
Marrakech,43
Tunis,45
Algiers,33
Tripoli,36
Tangier,33
Beirut,35
Amman,36
Istanbul,35
Doha,43
Manama,38
Nice,27
Santorini,26
Albufeira,32
Catania,35
Malaga,37
Dubrovnik,31
Naples,31
Toulon,31
Sharm El Sheikh,36
Hurghada,38
Djerba,35
Essaouira,27
Agadir,35
