City,Temperature (°C)
United Kingdom,20
Paris,37
Amsterdam,35
Rome,29
Madrid,39
Lisbon,30
Athens,33
Barcelona,31
Berlin,33
Milan,36
Vienna,37
Brussels,37
Prague,33
Budapest,38
Zurich,33
Cairo,40
Casablanca,30
Marrakech,44
Tunis,37
Algiers,31
Tripoli,31
Tangier,33
Beirut,30
Amman,41
Istanbul,31
Doha,41
Manama,40
Nice,24
Santorini,28
Albufeira,30
Catania,34
Malaga,35
Dubrovnik,30
Naples,30
Toulon,28
Sharm El Sheikh,39
Hurghada,37
Djerba,32
Essaouira,29
Agadir,35
