City,Temperature (°C)
United Kingdom,17
Paris,26
Amsterdam,23
Rome,34
Madrid,32
Lisbon,34
Athens,31
Barcelona,30
Berlin,23
Milan,28
Vienna,29
Brussels,22
Prague,23
Budapest,28
Zurich,26
Cairo,35
Casablanca,25
Marrakech,38
Tunis,35
Algiers,28
Tripoli,31
Tangier,24
Beirut,31
Amman,32
Istanbul,26
Doha,42
Manama,37
Nice,21
Santorini,25
Albufeira,30
Catania,30
Malaga,30
Dubrovnik,27
Naples,30
Toulon,30
Sharm El Sheikh,37
Hurghada,36
Djerba,25
Essaouira,20
Agadir,29
