City,Temperature (°C)
United Kingdom,25
Paris,35
Amsterdam,31
Rome,34
Madrid,37
Lisbon,29
Athens,36
Barcelona,36
Berlin,32
Milan,40
Vienna,38
Brussels,33
Prague,34
Budapest,38
Zurich,34
Cairo,40
Casablanca,28
Marrakech,45
Tunis,46
Algiers,32
Tripoli,34
Tangier,31
Beirut,34
Amman,34
Istanbul,30
Doha,40
Manama,36
Nice,29
Santorini,27
Albufeira,31
Catania,37
Malaga,38
Dubrovnik,32
Naples,31
Toulon,32
Sharm El Sheikh,36
Hurghada,36
Djerba,41
Essaouira,26
Agadir,32
