City,Temperature (°C)
United Kingdom,24
Paris,36
Amsterdam,30
Rome,36
Madrid,40
Lisbon,32
Athens,34
Barcelona,35
Berlin,34
Milan,37
Vienna,36
Brussels,31
Prague,35
Budapest,37
Zurich,32
Cairo,44
Casablanca,30
Marrakech,45
Tunis,40
Algiers,35
Tripoli,31
Tangier,34
Beirut,35
Amman,38
Istanbul,30
Doha,41
Manama,41
Nice,26
Santorini,27
Albufeira,33
Catania,34
Malaga,37
Dubrovnik,30
Naples,31
Toulon,31
Sharm El Sheikh,40
Hurghada,39
Djerba,35
Essaouira,28
Agadir,33
