City,Temperature (°C)
United Kingdom,23
Paris,32
Amsterdam,25
Rome,35
Madrid,40
Lisbon,28
Athens,37
Barcelona,31
Berlin,29
Milan,37
Vienna,34
Brussels,27
Prague,31
Budapest,34
Zurich,32
Cairo,41
Casablanca,28
Marrakech,46
Tunis,48
Algiers,35
Tripoli,37
Tangier,31
Beirut,32
Amman,34
Istanbul,32
Doha,45
Manama,37
Nice,28
Santorini,27
Albufeira,32
Catania,40
Malaga,38
Dubrovnik,29
Naples,30
Toulon,34
Sharm El Sheikh,36
Hurghada,37
Djerba,40
Essaouira,25
Agadir,31
