City,Temperature (°C)
United Kingdom,18
Paris,31
Amsterdam,22
Rome,38
Madrid,38
Lisbon,29
Athens,36
Barcelona,32
Berlin,26
Milan,36
Vienna,36
Brussels,27
Prague,27
Budapest,35
Zurich,39
Cairo,38
Casablanca,28
Marrakech,38
Tunis,41
Algiers,35
Tripoli,34
Tangier,28
Beirut,34
Amman,37
Istanbul,34
Doha,44
Manama,43
Nice,25
Santorini,27
Albufeira,26
Catania,36
Malaga,34
Dubrovnik,30
Naples,32
Toulon,32
Sharm El Sheikh,36
Hurghada,38
Djerba,34
Essaouira,24
Agadir,29
