City,Temperature (°C)
United Kingdom,21
Paris,35
Amsterdam,25
Rome,37
Madrid,39
Lisbon,39
Athens,34
Barcelona,34
Berlin,27
Milan,35
Vienna,31
Brussels,31
Prague,25
Budapest,30
Zurich,30
Cairo,39
Casablanca,36
Marrakech,44
Tunis,38
Algiers,30
Tripoli,31
Tangier,34
Beirut,30
Amman,31
Istanbul,32
Doha,44
Manama,36
Nice,22
Santorini,28
Albufeira,31
Catania,37
Malaga,34
Dubrovnik,31
Naples,31
Toulon,29
Sharm El Sheikh,35
Hurghada,37
Djerba,32
Essaouira,29
Agadir,35
