City,Temperature (°C)
United Kingdom,19
Paris,30
Amsterdam,26
Rome,33
Madrid,37
Lisbon,31
Athens,32
Barcelona,31
Berlin,31
Milan,33
Vienna,29
Brussels,28
Prague,30
Budapest,29
Zurich,32
Cairo,38
Casablanca,33
Marrakech,42
Tunis,41
Algiers,30
Tripoli,31
Tangier,32
Beirut,28
Amman,33
Istanbul,28
Doha,45
Manama,42
Nice,25
Santorini,24
Albufeira,29
Catania,31
Malaga,30
Dubrovnik,27
Naples,30
Toulon,29
Sharm El Sheikh,36
Hurghada,35
Djerba,33
Essaouira,32
Agadir,32
