City,Temperature (°C)
United Kingdom,12
Paris,17
Amsterdam,14
Rome,29
Madrid,28
Lisbon,20
Athens,20
Barcelona,22
Berlin,16
Milan,21
Vienna,16
Brussels,17
Prague,13
Budapest,19
Zurich,22
Cairo,31
Casablanca,19
Marrakech,26
Tunis,34
Algiers,26
Tripoli,30
Tangier,19
Beirut,19
Amman,24
Istanbul,17
Doha,30
Manama,26
Nice,14
Santorini,19
Albufeira,21
Catania,23
Malaga,24
Dubrovnik,18
Naples,20
Toulon,20
Sharm El Sheikh,26
Hurghada,28
Djerba,27
Essaouira,22
Agadir,22
