City,Temperature (°C)
United Kingdom,18
Paris,25
Amsterdam,20
Rome,32
Madrid,34
Lisbon,34
Athens,31
Barcelona,32
Berlin,22
Milan,29
Vienna,28
Brussels,22
Prague,22
Budapest,28
Zurich,27
Cairo,36
Casablanca,27
Marrakech,38
Tunis,30
Algiers,29
Tripoli,28
Tangier,24
Beirut,34
Amman,30
Istanbul,29
Doha,40
Manama,35
Nice,21
Santorini,25
Albufeira,30
Catania,31
Malaga,31
Dubrovnik,28
Naples,31
Toulon,31
Sharm El Sheikh,36
Hurghada,33
Djerba,25
Essaouira,21
Agadir,30
