City,Temperature (°C)
United Kingdom,18
Paris,28
Amsterdam,21
Rome,37
Madrid,38
Lisbon,33
Athens,37
Barcelona,34
Berlin,26
Milan,34
Vienna,33
Brussels,24
Prague,27
Budapest,35
Zurich,31
Cairo,40
Casablanca,28
Marrakech,39
Tunis,42
Algiers,35
Tripoli,39
Tangier,29
Beirut,33
Amman,38
Istanbul,32
Doha,42
Manama,43
Nice,23
Santorini,27
Albufeira,27
Catania,35
Malaga,36
Dubrovnik,29
Naples,32
Toulon,33
Sharm El Sheikh,35
Hurghada,37
Djerba,35
Essaouira,25
Agadir,29
