City,Temperature (°C)
United Kingdom,22
Paris,38
Amsterdam,33
Rome,33
Madrid,39
Lisbon,31
Athens,33
Barcelona,33
Berlin,39
Milan,42
Vienna,40
Brussels,35
Prague,37
Budapest,42
Zurich,39
Cairo,43
Casablanca,31
Marrakech,46
Tunis,41
Algiers,34
Tripoli,32
Tangier,35
Beirut,37
Amman,37
Istanbul,33
Doha,44
Manama,37
Nice,28
Santorini,28
Albufeira,32
Catania,35
Malaga,36
Dubrovnik,30
Naples,32
Toulon,31
Sharm El Sheikh,35
Hurghada,37
Djerba,36
Essaouira,30
Agadir,36
