City,Temperature (°C)
United Kingdom,24
Paris,41
Amsterdam,37
Rome,37
Madrid,41
Lisbon,32
Athens,36
Barcelona,34
Berlin,38
Milan,43
Vienna,40
Brussels,39
Prague,40
Budapest,40
Zurich,39
Cairo,42
Casablanca,31
Marrakech,45
Tunis,44
Algiers,30
Tripoli,37
Tangier,34
Beirut,34
Amman,36
Istanbul,33
Doha,42
Manama,36
Nice,29
Santorini,27
Albufeira,32
Catania,34
Malaga,34
Dubrovnik,30
Naples,32
Toulon,31
Sharm El Sheikh,36
Hurghada,36
Djerba,32
Essaouira,35
Agadir,33
