City,Temperature (°C)
United Kingdom,20
Paris,30
Amsterdam,30
Rome,35
Madrid,36
Lisbon,30
Athens,36
Barcelona,34
Berlin,28
Milan,33
Vienna,34
Brussels,29
Prague,31
Budapest,34
Zurich,32
Cairo,39
Casablanca,33
Marrakech,40
Tunis,40
Algiers,33
Tripoli,34
Tangier,33
Beirut,35
Amman,32
Istanbul,29
Doha,43
Manama,37
Nice,23
Santorini,28
Albufeira,31
Catania,35
Malaga,37
Dubrovnik,32
Naples,32
Toulon,29
Sharm El Sheikh,34
Hurghada,36
Djerba,33
Essaouira,30
Agadir,33
