City,Temperature (°C)
United Kingdom,5
Paris,12
Amsterdam,9
Rome,16
Madrid,14
Lisbon,16
Athens,19
Barcelona,18
Berlin,9
Milan,12
Vienna,10
Brussels,11
Prague,9
Budapest,10
Zurich,9
Cairo,30
Casablanca,20
Marrakech,26
Tunis,25
Algiers,19
Tripoli,22
Tangier,19
Beirut,23
Amman,21
Istanbul,19
Doha,30
Manama,26
Nice,6
Santorini,19
Albufeira,17
Catania,19
Malaga,20
Dubrovnik,13
Naples,13
Toulon,15
Sharm El Sheikh,25
Hurghada,26
Djerba,21
Essaouira,20
Agadir,21
