City,Temperature (°C)
United Kingdom,9
Paris,13
Amsterdam,10
Rome,27
Madrid,21
Lisbon,21
Athens,16
Barcelona,20
Berlin,11
Milan,18
Vienna,19
Brussels,11
Prague,13
Budapest,17
Zurich,13
Cairo,27
Casablanca,22
Marrakech,27
Tunis,25
Algiers,16
Tripoli,21
Tangier,18
Beirut,22
Amman,21
Istanbul,17
Doha,27
Manama,25
Nice,11
Santorini,16
Albufeira,20
Catania,18
Malaga,19
Dubrovnik,16
Naples,16
Toulon,17
Sharm El Sheikh,24
Hurghada,25
Djerba,17
Essaouira,22
Agadir,23
