City,Temperature (°C)
United Kingdom,15
Paris,22
Amsterdam,19
Rome,33
Madrid,32
Lisbon,27
Athens,34
Barcelona,26
Berlin,24
Milan,27
Vienna,25
Brussels,20
Prague,24
Budapest,28
Zurich,24
Cairo,38
Casablanca,27
Marrakech,39
Tunis,36
Algiers,31
Tripoli,33
Tangier,30
Beirut,30
Amman,32
Istanbul,28
Doha,43
Manama,38
Nice,17
Santorini,26
Albufeira,30
Catania,30
Malaga,34
Dubrovnik,25
Naples,27
Toulon,26
Sharm El Sheikh,33
Hurghada,35
Djerba,32
Essaouira,28
Agadir,31
