City,Temperature (°C)
United Kingdom,20
Paris,32
Amsterdam,25
Rome,37
Madrid,37
Lisbon,33
Athens,36
Barcelona,32
Berlin,29
Milan,36
Vienna,39
Brussels,27
Prague,33
Budapest,37
Zurich,34
Cairo,40
Casablanca,33
Marrakech,43
Tunis,40
Algiers,28
Tripoli,31
Tangier,31
Beirut,31
Amman,33
Istanbul,31
Doha,43
Manama,36
Nice,24
Santorini,26
Albufeira,29
Catania,35
Malaga,31
Dubrovnik,29
Naples,30
Toulon,32
Sharm El Sheikh,35
Hurghada,35
Djerba,29
Essaouira,26
Agadir,33
