City,Temperature (°C)
United Kingdom,24
Paris,35
Amsterdam,32
Rome,35
Madrid,38
Lisbon,29
Athens,37
Barcelona,34
Berlin,32
Milan,40
Vienna,37
Brussels,32
Prague,35
Budapest,38
Zurich,37
Cairo,43
Casablanca,30
Marrakech,42
Tunis,41
Algiers,32
Tripoli,32
Tangier,34
Beirut,35
Amman,37
Istanbul,32
Doha,44
Manama,37
Nice,27
Santorini,28
Albufeira,32
Catania,37
Malaga,35
Dubrovnik,32
Naples,35
Toulon,31
Sharm El Sheikh,36
Hurghada,38
Djerba,35
Essaouira,26
Agadir,29
