City,Temperature (°C)
United Kingdom,21
Paris,33
Amsterdam,30
Rome,35
Madrid,39
Lisbon,30
Athens,36
Barcelona,32
Berlin,30
Milan,32
Vienna,32
Brussels,30
Prague,29
Budapest,35
Zurich,31
Cairo,41
Casablanca,30
Marrakech,44
Tunis,44
Algiers,32
Tripoli,32
Tangier,33
Beirut,31
Amman,34
Istanbul,34
Doha,45
Manama,41
Nice,23
Santorini,27
Albufeira,32
Catania,36
Malaga,39
Dubrovnik,32
Naples,30
Toulon,32
Sharm El Sheikh,36
Hurghada,38
Djerba,35
Essaouira,28
Agadir,35
