City,Temperature (°C)
United Kingdom,19
Paris,28
Amsterdam,20
Rome,35
Madrid,34
Lisbon,31
Athens,32
Barcelona,29
Berlin,22
Milan,29
Vienna,27
Brussels,22
Prague,22
Budapest,27
Zurich,27
Cairo,37
Casablanca,28
Marrakech,38
Tunis,39
Algiers,26
Tripoli,31
Tangier,28
Beirut,28
Amman,30
Istanbul,31
Doha,43
Manama,36
Nice,21
Santorini,26
Albufeira,28
Catania,34
Malaga,31
Dubrovnik,26
Naples,28
Toulon,26
Sharm El Sheikh,34
Hurghada,36
Djerba,27
Essaouira,22
Agadir,27
