City,Temperature (°C)
United Kingdom,20
Paris,26
Amsterdam,31
Rome,37
Madrid,34
Lisbon,27
Athens,39
Barcelona,30
Berlin,30
Milan,31
Vienna,32
Brussels,31
Prague,30
Budapest,37
Zurich,30
Cairo,43
Casablanca,26
Marrakech,40
Tunis,46
Algiers,32
Tripoli,37
Tangier,28
Beirut,30
Amman,36
Istanbul,39
Doha,43
Manama,41
Nice,23
Santorini,28
Albufeira,31
Catania,36
Malaga,36
Dubrovnik,29
Naples,31
Toulon,28
Sharm El Sheikh,38
Hurghada,37
Djerba,33
Essaouira,25
Agadir,27
