City,Temperature (°C)
United Kingdom,20
Paris,24
Amsterdam,24
Rome,36
Madrid,34
Lisbon,38
Athens,42
Barcelona,28
Berlin,26
Milan,30
Vienna,29
Brussels,25
Prague,25
Budapest,36
Zurich,26
Cairo,43
Casablanca,30
Marrakech,47
Tunis,47
Algiers,31
Tripoli,40
Tangier,30
Beirut,30
Amman,35
Istanbul,37
Doha,43
Manama,39
Nice,22
Santorini,28
Albufeira,30
Catania,40
Malaga,34
Dubrovnik,31
Naples,30
Toulon,28
Sharm El Sheikh,36
Hurghada,37
Djerba,33
Essaouira,25
Agadir,26
