City,Temperature (°C)
United Kingdom,12
Paris,18
Amsterdam,16
Rome,29
Madrid,22
Lisbon,20
Athens,27
Barcelona,23
Berlin,20
Milan,22
Vienna,24
Brussels,18
Prague,22
Budapest,23
Zurich,21
Cairo,39
Casablanca,22
Marrakech,28
Tunis,37
Algiers,23
Tripoli,32
Tangier,22
Beirut,23
Amman,28
Istanbul,27
Doha,39
Manama,32
Nice,15
Santorini,24
Albufeira,22
Catania,29
Malaga,25
Dubrovnik,19
Naples,22
Toulon,21
Sharm El Sheikh,32
Hurghada,33
Djerba,23
Essaouira,20
Agadir,22
