City,Temperature (°C)
United Kingdom,13
Paris,24
Amsterdam,20
Rome,27
Madrid,21
Lisbon,20
Athens,27
Barcelona,23
Berlin,20
Milan,24
Vienna,23
Brussels,21
Prague,22
Budapest,24
Zurich,23
Cairo,38
Casablanca,23
Marrakech,26
Tunis,38
Algiers,26
Tripoli,34
Tangier,22
Beirut,23
Amman,30
Istanbul,24
Doha,39
Manama,33
Nice,15
Santorini,22
Albufeira,19
Catania,32
Malaga,25
Dubrovnik,20
Naples,20
Toulon,21
Sharm El Sheikh,31
Hurghada,32
Djerba,29
Essaouira,19
Agadir,22
