City,Temperature (°C)
United Kingdom,26
Paris,40
Amsterdam,35
Rome,30
Madrid,40
Lisbon,35
Athens,35
Barcelona,31
Berlin,32
Milan,38
Vienna,34
Brussels,38
Prague,31
Budapest,37
Zurich,34
Cairo,44
Casablanca,34
Marrakech,45
Tunis,38
Algiers,28
Tripoli,30
Tangier,33
Beirut,33
Amman,42
Istanbul,31
Doha,44
Manama,39
Nice,27
Santorini,27
Albufeira,31
Catania,34
Malaga,32
Dubrovnik,31
Naples,33
Toulon,31
Sharm El Sheikh,40
Hurghada,40
Djerba,30
Essaouira,32
Agadir,37
