City,Temperature (°C)
United Kingdom,14
Paris,23
Amsterdam,19
Rome,32
Madrid,35
Lisbon,32
Athens,33
Barcelona,26
Berlin,26
Milan,28
Vienna,33
Brussels,19
Prague,28
Budapest,31
Zurich,26
Cairo,39
Casablanca,29
Marrakech,42
Tunis,42
Algiers,30
Tripoli,32
Tangier,34
Beirut,26
Amman,32
Istanbul,29
Doha,39
Manama,35
Nice,22
Santorini,25
Albufeira,31
Catania,32
Malaga,31
Dubrovnik,26
Naples,28
Toulon,27
Sharm El Sheikh,33
Hurghada,34
Djerba,31
Essaouira,23
Agadir,26
