City,Temperature (°C)
United Kingdom,23
Paris,32
Amsterdam,32
Rome,34
Madrid,38
Lisbon,30
Athens,37
Barcelona,32
Berlin,33
Milan,40
Vienna,41
Brussels,29
Prague,37
Budapest,42
Zurich,35
Cairo,39
Casablanca,28
Marrakech,42
Tunis,45
Algiers,31
Tripoli,36
Tangier,32
Beirut,36
Amman,35
Istanbul,33
Doha,43
Manama,38
Nice,27
Santorini,27
Albufeira,32
Catania,36
Malaga,36
Dubrovnik,31
Naples,34
Toulon,32
Sharm El Sheikh,36
Hurghada,37
Djerba,33
Essaouira,27
Agadir,36
