City,Price,Date,Beach
Paris,73.64,2025-04-20,False
Amsterdam,64.71,2025-04-20,False
Rome,98.32,2025-04-19,True
Madrid,182.72,2025-04-18,False
Lisbon,98.45,2025-04-19,True
Athens,94.15,2025-04-20,True
Barcelona,68.66,2025-04-20,True
Berlin,126.8,2025-04-18,False
Milan,79.87,2025-04-19,False
Vienna,169.88,2025-04-18,False
Brussels,178.41,2025-04-16,False
Prague,60.75,2025-04-20,False
Budapest,50.49,2025-04-19,False
Zurich,135.23,2025-04-18,False
Cairo,200.5,2025-04-16,False
Casablanca,149.27,2025-04-20,True
Marrakech,107.08,2025-04-19,False
Tunis,189.41,2025-04-20,True
Algiers,154.99,2025-04-20,True
Tangier,186.33,2025-04-16,True
Beirut,165.71,2025-04-19,True
Amman,192.05,2025-04-19,True
Istanbul,178.77,2025-04-19,True
Doha,199.21,2025-04-20,True
Manama,210.21,2025-04-19,True
Santorini,200.73,2025-04-19,True
Albufeira,61.74,2025-04-19,True
Catania,57.79,2025-04-19,True
Malaga,63.73,2025-04-20,True
Dubrovnik,107.2,2025-04-19,True
Naples,70.45,2025-04-19,True
Toulon,251.37,2025-04-20,True
Sharm El Sheikh,155.95,2025-04-19,True
Djerba,224.84,2025-04-20,True
Essaouira,165.28,2025-04-20,True
Agadir,85.15,2025-04-20,True
