City,Temperature (°C)
United Kingdom,17
Paris,26
Amsterdam,23
Rome,32
Madrid,34
Lisbon,27
Athens,29
Barcelona,27
Berlin,25
Milan,31
Vienna,28
Brussels,22
Prague,27
Budapest,26
Zurich,27
Cairo,40
Casablanca,31
Marrakech,39
Tunis,40
Algiers,29
Tripoli,32
Tangier,30
Beirut,25
Amman,31
Istanbul,26
Doha,44
Manama,34
Nice,21
Santorini,24
Albufeira,31
Catania,33
Malaga,35
Dubrovnik,24
Naples,25
Toulon,27
Sharm El Sheikh,35
Hurghada,36
Djerba,30
Essaouira,23
Agadir,23
