City,Temperature (°C)
United Kingdom,19
Paris,28
Amsterdam,21
Rome,35
Madrid,34
Lisbon,31
Athens,31
Barcelona,31
Berlin,22
Milan,32
Vienna,28
Brussels,24
Prague,25
Budapest,25
Zurich,30
Cairo,38
Casablanca,28
Marrakech,37
Tunis,41
Algiers,26
Tripoli,31
Tangier,27
Beirut,26
Amman,32
Istanbul,29
Doha,44
Manama,39
Nice,22
Santorini,26
Albufeira,27
Catania,31
Malaga,32
Dubrovnik,25
Naples,28
Toulon,24
Sharm El Sheikh,33
Hurghada,36
Djerba,28
Essaouira,22
Agadir,28
