City,Temperature (°C)
United Kingdom,22
Paris,30
Amsterdam,24
Rome,36
Madrid,42
Lisbon,29
Athens,37
Barcelona,34
Berlin,24
Milan,34
Vienna,29
Brussels,26
Prague,25
Budapest,31
Zurich,28
Cairo,43
Casablanca,29
Marrakech,48
Tunis,48
Algiers,35
Tripoli,38
Tangier,33
Beirut,36
Amman,34
Istanbul,31
Doha,46
Manama,37
Nice,28
Santorini,27
Albufeira,34
Catania,38
Malaga,39
Dubrovnik,29
Naples,30
Toulon,34
Sharm El Sheikh,37
Hurghada,37
Djerba,41
Essaouira,26
Agadir,30
