City,Temperature (°C)
United Kingdom,19
Paris,29
Amsterdam,27
Rome,37
Madrid,37
Lisbon,32
Athens,38
Barcelona,34
Berlin,27
Milan,34
Vienna,33
Brussels,28
Prague,29
Budapest,34
Zurich,29
Cairo,40
Casablanca,33
Marrakech,41
Tunis,38
Algiers,31
Tripoli,34
Tangier,34
Beirut,34
Amman,33
Istanbul,31
Doha,42
Manama,37
Nice,24
Santorini,27
Albufeira,31
Catania,35
Malaga,36
Dubrovnik,32
Naples,32
Toulon,34
Sharm El Sheikh,35
Hurghada,39
Djerba,33
Essaouira,29
Agadir,34
