City,Temperature (°C)
United Kingdom,16
Paris,22
Amsterdam,19
Rome,29
Madrid,33
Lisbon,33
Athens,26
Barcelona,25
Berlin,20
Milan,26
Vienna,26
Brussels,21
Prague,23
Budapest,25
Zurich,22
Cairo,42
Casablanca,32
Marrakech,38
Tunis,34
Algiers,25
Tripoli,25
Tangier,28
Beirut,27
Amman,35
Istanbul,25
Doha,43
Manama,39
Nice,17
Santorini,27
Albufeira,28
Catania,26
Malaga,30
Dubrovnik,22
Naples,25
Toulon,25
Sharm El Sheikh,34
Hurghada,36
Djerba,25
Essaouira,24
Agadir,26
