City,Temperature (°C)
United Kingdom,22
Paris,29
Amsterdam,27
Rome,36
Madrid,39
Lisbon,30
Athens,37
Barcelona,32
Berlin,30
Milan,32
Vienna,32
Brussels,29
Prague,29
Budapest,34
Zurich,29
Cairo,41
Casablanca,29
Marrakech,45
Tunis,41
Algiers,31
Tripoli,32
Tangier,35
Beirut,30
Amman,34
Istanbul,34
Doha,43
Manama,41
Nice,23
Santorini,27
Albufeira,32
Catania,33
Malaga,39
Dubrovnik,31
Naples,32
Toulon,31
Sharm El Sheikh,37
Hurghada,37
Djerba,34
Essaouira,28
Agadir,31
