City,Temperature (°C)
United Kingdom,23
Paris,39
Amsterdam,32
Rome,38
Madrid,39
Lisbon,31
Athens,33
Barcelona,35
Berlin,36
Milan,37
Vienna,37
Brussels,37
Prague,33
Budapest,37
Zurich,37
Cairo,39
Casablanca,32
Marrakech,40
Tunis,42
Algiers,33
Tripoli,35
Tangier,33
Beirut,35
Amman,33
Istanbul,30
Doha,44
Manama,39
Nice,25
Santorini,27
Albufeira,31
Catania,39
Malaga,35
Dubrovnik,33
Naples,35
Toulon,33
Sharm El Sheikh,36
Hurghada,39
Djerba,33
Essaouira,24
Agadir,29
