City,Temperature (°C)
United Kingdom,19
Paris,33
Amsterdam,27
Rome,31
Madrid,39
Lisbon,29
Athens,34
Barcelona,31
Berlin,33
Milan,35
Vienna,36
Brussels,29
Prague,34
Budapest,40
Zurich,32
Cairo,42
Casablanca,29
Marrakech,45
Tunis,38
Algiers,31
Tripoli,31
Tangier,34
Beirut,31
Amman,40
Istanbul,32
Doha,41
Manama,36
Nice,25
Santorini,28
Albufeira,32
Catania,34
Malaga,31
Dubrovnik,30
Naples,30
Toulon,29
Sharm El Sheikh,39
Hurghada,39
Djerba,31
Essaouira,31
Agadir,38
