City,Temperature (°C)
United Kingdom,20
Paris,36
Amsterdam,25
Rome,38
Madrid,36
Lisbon,30
Athens,37
Barcelona,31
Berlin,33
Milan,33
Vienna,34
Brussels,31
Prague,32
Budapest,37
Zurich,32
Cairo,39
Casablanca,27
Marrakech,44
Tunis,41
Algiers,29
Tripoli,31
Tangier,30
Beirut,29
Amman,33
Istanbul,33
Doha,44
Manama,38
Nice,23
Santorini,25
Albufeira,31
Catania,33
Malaga,34
Dubrovnik,28
Naples,28
Toulon,30
Sharm El Sheikh,35
Hurghada,35
Djerba,35
Essaouira,25
Agadir,27
