City,Temperature (°C)
United Kingdom,25
Paris,35
Amsterdam,35
Rome,35
Madrid,38
Lisbon,29
Athens,36
Barcelona,33
Berlin,33
Milan,40
Vienna,36
Brussels,38
Prague,33
Budapest,40
Zurich,34
Cairo,40
Casablanca,29
Marrakech,43
Tunis,41
Algiers,32
Tripoli,36
Tangier,34
Beirut,35
Amman,35
Istanbul,34
Doha,44
Manama,38
Nice,27
Santorini,28
Albufeira,32
Catania,37
Malaga,35
Dubrovnik,33
Naples,34
Toulon,33
Sharm El Sheikh,35
Hurghada,37
Djerba,35
Essaouira,26
Agadir,31
