City,Temperature (°C)
United Kingdom,18
Paris,29
Amsterdam,25
Rome,29
Madrid,33
Lisbon,30
Athens,25
Barcelona,30
Berlin,25
Milan,26
Vienna,22
Brussels,28
Prague,23
Budapest,23
Zurich,28
Cairo,35
Casablanca,31
Marrakech,38
Tunis,31
Algiers,28
Tripoli,30
Tangier,24
Beirut,31
Amman,28
Istanbul,26
Doha,44
Manama,36
Nice,19
Santorini,23
Albufeira,34
Catania,29
Malaga,32
Dubrovnik,23
Naples,27
Toulon,29
Sharm El Sheikh,35
Hurghada,33
Djerba,27
Essaouira,21
Agadir,32
