City,Temperature (°C)
United Kingdom,18
Paris,34
Amsterdam,25
Rome,34
Madrid,34
Lisbon,30
Athens,32
Barcelona,33
Berlin,24
Milan,31
Vienna,28
Brussels,28
Prague,25
Budapest,28
Zurich,30
Cairo,38
Casablanca,26
Marrakech,35
Tunis,39
Algiers,27
Tripoli,33
Tangier,29
Beirut,27
Amman,35
Istanbul,29
Doha,42
Manama,40
Nice,22
Santorini,25
Albufeira,28
Catania,32
Malaga,32
Dubrovnik,25
Naples,29
Toulon,24
Sharm El Sheikh,34
Hurghada,36
Djerba,28
Essaouira,21
Agadir,27
