City,Temperature (°C)
United Kingdom,19
Paris,30
Amsterdam,24
Rome,28
Madrid,39
Lisbon,33
Athens,36
Barcelona,30
Berlin,26
Milan,31
Vienna,30
Brussels,25
Prague,24
Budapest,33
Zurich,27
Cairo,40
Casablanca,32
Marrakech,45
Tunis,41
Algiers,29
Tripoli,34
Tangier,32
Beirut,31
Amman,34
Istanbul,32
Doha,44
Manama,42
Nice,22
Santorini,27
Albufeira,29
Catania,32
Malaga,32
Dubrovnik,30
Naples,30
Toulon,28
Sharm El Sheikh,35
Hurghada,35
Djerba,29
Essaouira,26
Agadir,30
