City,Price,Date,Beach
Paris,56.72,2026-03-04,False
Amsterdam,56.72,2026-03-04,False
Rome,58.5,2026-03-08,True
Madrid,25.42,2026-03-07,False
Lisbon,65.1,2026-03-07,True
Athens,89.84,2026-03-08,True
Barcelona,48.74,2026-03-07,True
Berlin,48.74,2026-03-08,False
Milan,64.55,2026-03-08,False
Vienna,54.37,2026-03-08,False
Brussels,62.0,2026-03-07,False
Prague,27.39,2026-03-07,False
Budapest,37.19,2026-03-07,False
Zurich,48.74,2026-03-07,False
Casablanca,118.87,2026-03-05,True
Marrakech,79.32,2026-03-05,False
Tunis,294.5,2026-03-05,True
Algiers,204.47,2026-03-06,True
Tangier,284.5,2026-03-06,True
Istanbul,67.76,2026-03-04,True
Nice,80.66,2026-03-07,True
Santorini,161.16,2026-03-05,True
Albufeira,32.29,2026-03-06,True
Catania,62.78,2026-03-08,True
Malaga,27.86,2026-03-08,True
Dubrovnik,71.79,2026-03-08,True
Naples,50.33,2026-03-08,True
Toulon,175.67,2026-03-04,True
Djerba,1899.07,2026-03-06,True
Agadir,34.85,2026-03-08,True
