City,Temperature (°C)
United Kingdom,24
Paris,41
Amsterdam,31
Rome,33
Madrid,39
Lisbon,36
Athens,34
Barcelona,32
Berlin,35
Milan,35
Vienna,36
Brussels,38
Prague,35
Budapest,37
Zurich,34
Cairo,41
Casablanca,39
Marrakech,45
Tunis,41
Algiers,29
Tripoli,33
Tangier,33
Beirut,32
Amman,34
Istanbul,30
Doha,45
Manama,40
Nice,25
Santorini,29
Albufeira,31
Catania,34
Malaga,32
Dubrovnik,32
Naples,33
Toulon,31
Sharm El Sheikh,34
Hurghada,36
Djerba,32
Essaouira,38
Agadir,35
