City,Temperature (°C)
United Kingdom,23
Paris,38
Amsterdam,33
Rome,34
Madrid,40
Lisbon,31
Athens,31
Barcelona,31
Berlin,36
Milan,35
Vienna,37
Brussels,34
Prague,33
Budapest,35
Zurich,35
Cairo,38
Casablanca,28
Marrakech,42
Tunis,38
Algiers,34
Tripoli,30
Tangier,34
Beirut,26
Amman,33
Istanbul,27
Doha,43
Manama,36
Nice,26
Santorini,24
Albufeira,27
Catania,32
Malaga,34
Dubrovnik,28
Naples,28
Toulon,29
Sharm El Sheikh,35
Hurghada,35
Djerba,32
Essaouira,27
Agadir,29
