City,Temperature (°C)
United Kingdom,18
Paris,29
Amsterdam,22
Rome,37
Madrid,38
Lisbon,34
Athens,36
Barcelona,31
Berlin,26
Milan,33
Vienna,30
Brussels,23
Prague,29
Budapest,35
Zurich,30
Cairo,38
Casablanca,35
Marrakech,45
Tunis,44
Algiers,30
Tripoli,40
Tangier,32
Beirut,32
Amman,34
Istanbul,32
Doha,45
Manama,42
Nice,23
Santorini,26
Albufeira,31
Catania,36
Malaga,30
Dubrovnik,31
Naples,33
Toulon,30
Sharm El Sheikh,35
Hurghada,34
Djerba,32
Essaouira,34
Agadir,38
