City,Temperature (°C)
United Kingdom,20
Paris,37
Amsterdam,34
Rome,30
Madrid,38
Lisbon,31
Athens,36
Barcelona,33
Berlin,31
Milan,40
Vienna,39
Brussels,36
Prague,37
Budapest,41
Zurich,36
Cairo,42
Casablanca,32
Marrakech,46
Tunis,45
Algiers,34
Tripoli,35
Tangier,33
Beirut,38
Amman,36
Istanbul,32
Doha,44
Manama,37
Nice,26
Santorini,26
Albufeira,32
Catania,36
Malaga,39
Dubrovnik,30
Naples,30
Toulon,31
Sharm El Sheikh,35
Hurghada,36
Djerba,37
Essaouira,28
Agadir,34
