City,Temperature (°C)
United Kingdom,25
Paris,38
Amsterdam,34
Rome,35
Madrid,36
Lisbon,27
Athens,35
Barcelona,33
Berlin,34
Milan,39
Vienna,36
Brussels,35
Prague,32
Budapest,36
Zurich,36
Cairo,40
Casablanca,27
Marrakech,45
Tunis,47
Algiers,32
Tripoli,34
Tangier,31
Beirut,36
Amman,34
Istanbul,32
Doha,44
Manama,37
Nice,29
Santorini,28
Albufeira,32
Catania,37
Malaga,38
Dubrovnik,32
Naples,35
Toulon,32
Sharm El Sheikh,35
Hurghada,35
Djerba,40
Essaouira,27
Agadir,32
