City,Temperature (°C)
United Kingdom,19
Paris,29
Amsterdam,24
Rome,38
Madrid,38
Lisbon,35
Athens,36
Barcelona,32
Berlin,23
Milan,34
Vienna,31
Brussels,24
Prague,27
Budapest,31
Zurich,30
Cairo,39
Casablanca,37
Marrakech,42
Tunis,41
Algiers,30
Tripoli,33
Tangier,32
Beirut,36
Amman,34
Istanbul,30
Doha,42
Manama,38
Nice,24
Santorini,28
Albufeira,31
Catania,35
Malaga,35
Dubrovnik,30
Naples,32
Toulon,31
Sharm El Sheikh,34
Hurghada,37
Djerba,33
Essaouira,30
Agadir,32
