City,Temperature (°C)
United Kingdom,17
Paris,25
Amsterdam,21
Rome,32
Madrid,34
Lisbon,26
Athens,31
Barcelona,26
Berlin,25
Milan,29
Vienna,29
Brussels,22
Prague,24
Budapest,32
Zurich,28
Cairo,40
Casablanca,25
Marrakech,39
Tunis,39
Algiers,27
Tripoli,34
Tangier,29
Beirut,25
Amman,32
Istanbul,31
Doha,44
Manama,37
Nice,21
Santorini,24
Albufeira,30
Catania,31
Malaga,27
Dubrovnik,24
Naples,27
Toulon,27
Sharm El Sheikh,33
Hurghada,36
Djerba,29
Essaouira,23
Agadir,24
