City,Temperature (°C)
United Kingdom,21
Paris,38
Amsterdam,33
Rome,31
Madrid,40
Lisbon,34
Athens,31
Barcelona,32
Berlin,35
Milan,37
Vienna,35
Brussels,32
Prague,35
Budapest,35
Zurich,35
Cairo,38
Casablanca,30
Marrakech,43
Tunis,37
Algiers,35
Tripoli,30
Tangier,33
Beirut,28
Amman,34
Istanbul,28
Doha,45
Manama,35
Nice,26
Santorini,25
Albufeira,29
Catania,33
Malaga,33
Dubrovnik,28
Naples,29
Toulon,29
Sharm El Sheikh,34
Hurghada,35
Djerba,34
Essaouira,23
Agadir,28
