City,Temperature (°C)
United Kingdom,16
Paris,25
Amsterdam,21
Rome,36
Madrid,32
Lisbon,34
Athens,31
Barcelona,31
Berlin,21
Milan,27
Vienna,26
Brussels,22
Prague,22
Budapest,28
Zurich,25
Cairo,38
Casablanca,24
Marrakech,38
Tunis,35
Algiers,29
Tripoli,31
Tangier,24
Beirut,35
Amman,33
Istanbul,24
Doha,43
Manama,36
Nice,20
Santorini,25
Albufeira,30
Catania,31
Malaga,29
Dubrovnik,27
Naples,28
Toulon,30
Sharm El Sheikh,40
Hurghada,39
Djerba,26
Essaouira,22
Agadir,29
