City,Temperature (°C)
United Kingdom,23
Paris,36
Amsterdam,30
Rome,37
Madrid,40
Lisbon,37
Athens,39
Barcelona,32
Berlin,30
Milan,34
Vienna,34
Brussels,34
Prague,32
Budapest,38
Zurich,34
Cairo,40
Casablanca,36
Marrakech,46
Tunis,42
Algiers,29
Tripoli,31
Tangier,33
Beirut,29
Amman,37
Istanbul,34
Doha,45
Manama,40
Nice,25
Santorini,26
Albufeira,32
Catania,34
Malaga,33
Dubrovnik,30
Naples,33
Toulon,31
Sharm El Sheikh,34
Hurghada,34
Djerba,34
Essaouira,31
Agadir,35
