City,Temperature (°C)
United Kingdom,20
Paris,29
Amsterdam,29
Rome,34
Madrid,35
Lisbon,28
Athens,33
Barcelona,29
Berlin,30
Milan,27
Vienna,31
Brussels,33
Prague,28
Budapest,33
Zurich,26
Cairo,39
Casablanca,27
Marrakech,38
Tunis,42
Algiers,33
Tripoli,34
Tangier,30
Beirut,30
Amman,33
Istanbul,30
Doha,44
Manama,37
Nice,21
Santorini,26
Albufeira,28
Catania,31
Malaga,34
Dubrovnik,26
Naples,27
Toulon,26
Sharm El Sheikh,34
Hurghada,35
Djerba,39
Essaouira,25
Agadir,27
