City,Temperature (°C)
United Kingdom,19
Paris,27
Amsterdam,21
Rome,37
Madrid,35
Lisbon,28
Athens,37
Barcelona,34
Berlin,27
Milan,34
Vienna,34
Brussels,22
Prague,28
Budapest,37
Zurich,34
Cairo,40
Casablanca,28
Marrakech,34
Tunis,44
Algiers,35
Tripoli,35
Tangier,29
Beirut,35
Amman,36
Istanbul,31
Doha,44
Manama,43
Nice,25
Santorini,28
Albufeira,27
Catania,35
Malaga,35
Dubrovnik,31
Naples,33
Toulon,30
Sharm El Sheikh,35
Hurghada,36
Djerba,35
Essaouira,24
Agadir,30
