City,Temperature (°C)
United Kingdom,16
Paris,26
Amsterdam,20
Rome,33
Madrid,35
Lisbon,29
Athens,31
Barcelona,28
Berlin,22
Milan,26
Vienna,27
Brussels,24
Prague,25
Budapest,25
Zurich,25
Cairo,38
Casablanca,30
Marrakech,40
Tunis,37
Algiers,28
Tripoli,30
Tangier,31
Beirut,31
Amman,32
Istanbul,26
Doha,41
Manama,37
Nice,20
Santorini,25
Albufeira,29
Catania,31
Malaga,30
Dubrovnik,27
Naples,27
Toulon,26
Sharm El Sheikh,34
Hurghada,36
Djerba,31
Essaouira,30
Agadir,33
