City,Temperature (°C)
United Kingdom,24
Paris,38
Amsterdam,31
Rome,34
Madrid,39
Lisbon,37
Athens,38
Barcelona,31
Berlin,34
Milan,34
Vienna,34
Brussels,36
Prague,32
Budapest,34
Zurich,35
Cairo,41
Casablanca,36
Marrakech,45
Tunis,41
Algiers,28
Tripoli,31
Tangier,33
Beirut,30
Amman,35
Istanbul,35
Doha,45
Manama,40
Nice,25
Santorini,27
Albufeira,31
Catania,34
Malaga,32
Dubrovnik,31
Naples,33
Toulon,31
Sharm El Sheikh,34
Hurghada,35
Djerba,30
Essaouira,32
Agadir,34
